index,prcp1,prcp2,prcp3,prcp4,prcp5,prcp6,prcp7,prcp8,evi1,evi2,evi3,evi4,evi5,evi6,evi7,evi8,lai1,lai2,lai3,lai4,lai5,lai6,lai7,lai8,fpar1,fpar2,fpar3,fpar4,fpar5,fpar6,fpar7,fpar8,lst_d1,lst_d2,lst_d3,lst_d4,lst_d5,lst_d6,lst_d7,lst_d8,lst_n1,lst_n2,lst_n3,lst_n4,lst_n5,lst_n6,lst_n7,lst_n8,dayl1,dayl2,dayl3,dayl4,dayl5,dayl6,dayl7,dayl8,srad1,srad2,srad3,srad4,srad5,srad6,srad7,srad8,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,ssm1,ssm2,ssm3,ssm4,ssm5,ssm6,ssm7,ssm8,bulk,sand,silt,clay,cec,ph,n,yield,state,county,year
0,221.8642524,320.7549396,333.1401809,243.1159502,289.4682256,197.8922085,274.0354976,6.32184285,0.281298722,0.251246515,0.296285431,0.38098798,0.407013529,0.43144048,0.340856816,0.280326779,12.03816718,11.15499344,13.58974029,18.41955319,20.25437949,18.83171145,12.99791325,8.544742574,44.97172845,42.02118422,47.10634956,56.35425307,61.33035554,63.35233131,55.65983159,48.15836648,15130.16517,15112.05278,15069.1317,15117.28321,15051.72156,15056.69978,14890.53107,14680.04536,14478.80382,14614.96716,14728.68114,14730.75525,14744.23234,14669.38582,14434.82845,14181.40464,47879.05452,49763.27116,50064.72334,48660.95808,46071.65935,42974.42291,39913.56832,37449.87551,399.9301305,325.0845601,346.7746163,354.1616851,357.9666545,346.0905908,319.6527761,294.5973803,27.83638494,29.26055003,31.18994218,32.0631655,31.42689807,30.62071658,26.45235059,21.33236959,16.38325205,20.73751399,22.94598968,23.36007419,22.31075071,20.55491843,15.6836989,9.468275778,12.05675783,17.39234243,22.08488855,22.98354324,21.93758573,19.14536566,21.83920112,19.04627926,154.5992358,539.34072,241.4789094,218.0914819,92.95890397,52.0155649,2617.824646,906,alabama,baldwin,2017
1,129.5920488,160.5091506,171.6543527,141.6306065,73.62006742,129.812964,122.9451344,27.72040431,0.349194375,0.331991324,0.411191243,0.450029182,0.397283913,0.403591888,0.292890839,0.220538635,17.42033584,15.37115222,22.73115405,26.05141519,22.50910518,21.8935215,13.66512131,7.408858173,53.90291434,47.2395177,59.33456739,63.11079489,61.04498307,67.63936891,55.47934832,43.06056697,15051.83598,15010.76521,15065.63285,15099.33606,14978.42661,14981.10069,14797.36684,14469.88731,14400.02363,14565.0581,14660.88725,14706.78145,14605.76989,14518.60931,14231.93911,13960.59024,48506.46655,50652.44196,50996.55023,49396.05348,46454.14623,42944.49903,39475.28475,36674.63384,400.0913409,356.7714197,378.7836945,378.5468763,379.9344984,361.8684862,310.6138384,269.1359768,26.67348228,28.47276465,30.57564715,31.67206387,29.49525379,28.32483202,23.62845922,17.92277059,12.86829133,17.48979408,19.81950076,20.85902868,18.33060139,16.06890278,10.38881554,4.126768615,17.47588496,20.2022307,22.15316602,22.72781023,20.37805908,19.02170969,18.56196301,18.39028424,154.1252105,308.9636871,393.9671305,297.0435273,100.7926644,53.42921002,1064.655667,983,alabama,calhoun,2017
2,134.2230569,182.1321904,221.5090224,82.63668368,59.79589153,120.7716099,122.232797,22.20725375,0.294256571,0.287772556,0.363334863,0.445867335,0.399460403,0.386275349,0.278274708,0.209866118,12.1375124,12.07505058,16.81259699,21.83466605,20.93703823,18.93313207,10.93947728,6.450761841,45.19452039,43.59170524,53.73596519,63.63532473,63.50927536,65.75601482,50.98483414,41.49968349,15009.56722,14973.91746,15041.07316,15115.21169,15036.04803,14957.24424,14779.3077,14450.64884,14438.28112,14610.98509,14699.06164,14768.26163,14645.91477,14534.7879,14220.95225,13984.5851,48579.35285,50755.96032,51105.07942,49481.51845,46498.5189,42941.03025,39424.42627,36584.47185,397.7562086,365.2471787,373.4260929,381.5330861,380.973515,361.5798926,308.4786123,268.6754059,26.85630233,28.56327167,30.61717676,31.9235097,29.64413576,28.37018451,23.48021933,17.62902368,13.15324458,17.4389328,19.69703364,20.80187376,18.31420984,16.10567016,10.4373139,4.225636979,20.23272985,21.97149676,23.18134546,23.15540395,20.70009217,20.02170574,21.21593825,22.03589501,150.8628892,273.146413,410.8123651,293.5613978,109.7646015,52.21416529,1067.024366,964,alabama,cherokee,2017
3,132.8603273,170.525522,257.2213445,145.9826712,133.7480799,127.7285945,128.9756664,23.19667762,0.30178481,0.280910944,0.349876385,0.406340743,0.387970043,0.39017508,0.33262911,0.278246998,11.36451209,10.51689124,15.18924639,18.51177776,18.40139647,16.65731,11.52731899,7.733737779,43.50105484,39.74984469,50.91138503,58.06631672,59.93252053,61.21143726,53.50998032,47.57958856,15177.52359,15073.98402,15092.14724,15098.18468,15061.94103,15074.81403,14917.73018,14639.61674,14479.1629,14628.65058,14660.78877,14673.4995,14707.05071,14628.68729,14393.39537,14175.42334,48023.80916,49968.12368,50279.34463,48830.46647,46159.9872,42967.50908,39812.37336,37271.14923,407.4493849,336.6489875,367.9737053,366.367897,372.4754152,361.9759046,329.6489457,289.8887208,28.69501839,29.87224641,31.61136689,32.51201755,31.70363099,30.70134938,26.81080287,21.31571361,14.86819917,19.39480652,21.51757238,21.93988924,20.80074066,18.89473809,13.65196146,7.304492734,7.345927204,14.40433889,18.61747493,20.89996897,20.63773905,20.33829248,18.83103159,15.11806539,160.2328859,663.3654927,130.7010869,205.0278861,59.93397626,54.59806533,859.9441289,800,alabama,coffee,2017
4,143.1546841,206.4562933,301.1327187,156.7197631,171.2764195,59.4738542,163.9725063,18.23521137,0.339812169,0.277883481,0.341409897,0.39803326,0.381150994,0.380186582,0.338966229,0.292514995,16.66277607,14.88826388,19.83019919,24.54091508,23.20543566,20.97464126,15.08632244,10.60766517,51.32356666,45.71960282,53.75727518,61.5771191,61.8518649,64.42580962,58.42442492,52.99082164,15100.09426,14993.0712,15061.33566,15026.17692,14943.4578,15013.15566,14870.5264,14621.35174,14463.37336,14556.54717,14671.4108,14689.74603,14721.03266,14614.00509,14393.3659,14134.47157,48014.10721,49954.38984,50264.95525,48819.10439,46154.06844,42967.97202,39819.15438,37283.12932,407.6449932,328.3253996,368.1977206,365.3276763,373.2710845,369.3792391,327.4344999,291.6441803,28.63750058,29.77284326,31.63422809,32.48843593,31.53660205,30.66202014,26.45523681,21.13069058,14.596117,19.31267057,21.52108896,22.04355854,20.90473427,18.96182687,13.73348716,7.447517313,7.011265168,12.92012076,19.44731344,21.46443046,21.01122257,20.80340093,19.63431742,16.23983815,157.2652124,644.2841109,159.1533682,195.8561857,77.69682948,51.15533481,969.7204357,857,alabama,covington,2017
5,108.2114957,185.959759,195.9675273,118.2916556,134.4543757,124.4280903,86.00629358,20.58726443,0.272866316,0.272565082,0.350108267,0.419998129,0.412959098,0.378645369,0.309828971,0.261485432,8.888890827,8.597921917,13.08833191,16.76817963,17.10352164,14.94713435,9.802651646,6.332887546,37.08081605,34.8629881,47.05351784,55.64446643,59.04598241,58.57935295,48.70256286,41.75273583,15230.21173,15150.86987,15152.5216,15076.36565,15030.46928,15099.2056,14967.45303,14685.34048,14471.26399,14627.06393,14697.24836,14721.03898,14697.67319,14633.8085,14388.6235,14181.60267,48020.8637,49963.95279,50274.97403,48827.01652,46158.19073,42967.64986,39814.43204,37274.78749,407.9405463,336.9262079,372.4579832,372.8059644,373.0344014,361.5503821,333.4472471,289.922337,28.80649201,30.01504202,31.74692715,32.57925963,31.90346636,30.77899237,27.07533927,21.59770435,15.07829977,19.53586324,21.65139813,22.02190739,20.89873005,18.95338242,13.63795719,7.302607344,7.162585826,13.47487048,17.94823634,20.42171708,20.84337452,20.1605939,18.27618102,14.65987051,157.1597986,637.7421797,133.391935,227.6039518,64.77967903,54.7008182,929.3920762,895,alabama,dale,2017
6,191.8411771,165.6433109,261.8936159,195.6918087,64.56051916,92.20531819,112.2131376,34.37021097,0.364150074,0.331502481,0.356813941,0.42252195,0.393717711,0.380592353,0.295227526,0.251234288,18.11934577,15.79778722,20.68837837,24.72467985,23.55233411,21.2649119,14.48596234,9.538484019,54.26118359,47.40750593,55.73856869,61.71010723,61.80199457,65.29216493,57.68836501,49.95647772,15058.74315,14961.36601,14985.41048,15060.77977,14973.99633,15017.61569,14797.5402,14518.23047,14461.26472,14636.02992,14712.54905,14697.91653,14631.08121,14601.68093,14349.18859,14051.10371,48211.55083,50234.0673,50558.02077,49050.39209,46274.47414,42958.55009,39681.19251,37039.22972,397.5193622,343.3995906,370.9605708,376.0745888,368.6332657,369.0867288,313.6909479,280.4352262,27.84203678,29.48524595,31.52629693,32.68186747,30.85351019,30.13658471,25.1724705,19.57044193,13.97994874,18.70626326,21.15737885,21.78009258,20.07898899,18.05445163,12.47507029,5.687249233,13.5340754,19.7908502,21.09361568,19.75027768,19.94165106,18.94658312,20.76158723,20.30647391,159.2842578,338.2311977,340.0851834,307.7996715,147.1151969,54.67515028,862.8999283,763,alabama,dallas,2017
7,197.3161562,253.2067618,221.6832504,90.41820368,93.54116039,142.381721,99.70008802,32.65957225,0.306474683,0.320486608,0.373472474,0.440293316,0.398365429,0.368592506,0.286741866,0.238951468,12.04331408,11.61708672,16.07067988,19.22759648,18.71340154,15.86393271,10.85096103,7.035554746,44.10173325,41.38222234,51.99067984,58.7041168,59.32951828,58.75983672,50.3322748,43.31788914,15091.728,15059.11689,15103.46298,15112.84586,15020.41829,15038.51668,14879.2848,14529.74646,14466.36683,14617.70061,14734.42516,14731.31549,14665.17243,14616.31622,14336.17569,14047.97286,48254.93885,50295.57083,50622.47729,49101.23005,46300.92042,42956.48128,39650.88696,36985.61216,397.9452798,336.1307252,364.5875494,374.5151305,371.75356,358.8387115,316.4486204,279.041127,28.44045192,29.97756117,32.08675937,32.95181532,31.24003765,30.21270661,25.47384806,19.7600252,15.16573544,19.6374871,21.98992124,22.48105904,20.56627622,18.5321896,12.97224734,6.112099767,13.83544503,20.75060544,21.43559208,20.61907846,19.89261061,19.26151414,20.41964683,19.99244579,155.9953842,418.9769507,300.6445352,266.5389584,98.89804836,54.00402869,897.885542,770,alabama,elmore,2017
8,219.0394878,310.919426,360.514029,200.26563,168.5794389,105.8627707,179.0922477,27.23365644,0.280146606,0.248530429,0.298315201,0.395823692,0.427263119,0.437432789,0.326117541,0.287612431,11.88071525,10.90361365,13.51275889,19.42651883,23.20982552,21.17215225,14.49598874,9.096707203,42.79993456,39.46476581,45.32362614,56.43100212,64.61941063,66.07647298,58.5080584,49.44464388,15125.414,15087.58603,15117.04021,15166.16109,15034.68543,15027.12707,14897.35177,14664.9831,14458.01545,14529.73497,14698.83787,14705.33063,14666.47817,14620.6109,14379.36108,14102.5394,47982.22783,49909.25958,50217.66952,48781.76837,46134.61965,42969.49366,39841.43689,37322.49748,405.0299143,327.0568568,358.383867,362.4480972,368.494308,363.4782701,322.6225585,291.5172711,28.06273649,29.24507539,31.24547373,32.03496802,30.91588309,30.15239231,25.70097535,20.52493949,14.53977952,19.30265996,21.69575758,22.3014024,21.00589878,18.98941743,13.8657398,7.402994703,8.446527307,15.06965066,20.77391544,22.00443637,21.37132251,20.50175471,21.17495007,18.52264681,156.4893876,528.2956642,256.0781693,214.71712,96.73378483,50.85651376,1443.172044,906,alabama,escambia,2017
9,110.8441823,165.1317337,213.2128456,118.4983774,148.2567019,118.1444468,95.72466079,15.10241756,0.280379169,0.265482219,0.36219613,0.413485906,0.411723352,0.375179444,0.324696046,0.277579482,8.840946318,8.689854659,14.07503169,17.99262773,17.81569045,14.22969124,9.937410311,6.775864949,37.4384863,35.49919704,50.17305081,58.78623766,60.63019808,56.84648396,49.91624285,44.59010142,15258.52452,15138.42738,15179.94609,15074.14451,15072.12186,15108.23735,14977.23487,14733.63841,14466.04512,14588.27667,14708.35015,14732.12962,14711.213,14642.65673,14404.61883,14192.38795,47980.65917,49907.0387,50215.3428,48779.9314,46133.66265,42969.5684,39842.53348,37324.43483,406.2598098,332.2724032,365.1474879,364.8279889,369.9668448,360.8290905,333.4753947,291.3179581,29.01678722,30.1360963,31.8401714,32.688677,32.10492615,30.96891666,27.35320224,21.88395018,15.07128852,19.7012944,21.7751553,22.11219824,21.10782902,19.17043858,13.76371828,7.358450527,8.749751055,14.58503583,20.02165149,21.7750564,21.58631878,20.5407137,18.0207915,13.66059909,157.3145272,626.0944109,131.6326759,242.2831175,61.62044916,54.25578879,1097.450339,735,alabama,geneva,2017
10,104.5473495,188.2660128,149.8706048,126.4033099,126.9563197,124.0210075,70.53159492,22.07964299,0.250100596,0.258015441,0.35532873,0.433691623,0.438948248,0.367976682,0.296119394,0.248470155,7.841707744,7.897609949,12.43799981,16.21860855,16.69988681,13.68143239,8.614665933,5.633831677,34.82010669,33.61076185,46.67346566,55.83525484,59.29183318,56.25507125,45.77092441,39.60245113,15288.54006,15199.07892,15079.4359,15116.29352,15051.51099,15105.35526,15024.29657,14705.73379,14442.88165,14597.20111,14722.20407,14726.39318,14698.05139,14631.29369,14394.30477,14183.73499,48035.06017,49984.05205,50296.03391,48843.64347,46166.85085,42966.97191,39804.50946,37257.25492,404.0822875,341.4871039,379.483753,377.4592528,376.2228483,361.5631543,333.3122367,289.2805589,28.8286344,30.0664623,31.84341731,32.59025622,31.95518223,30.80326754,27.08038306,21.67881886,15.08402645,19.53209518,21.68309623,22.10714969,20.94778177,18.94834455,13.654843,7.380085661,8.63361492,13.16869782,15.74081391,17.40914851,18.74447229,18.61936318,14.69332465,12.20167701,156.8580561,628.1285486,137.2554948,232.7341419,64.32916123,54.97002636,855.4547067,811,alabama,henry,2017
11,104.6452536,183.8326764,166.2318416,107.8017744,138.2299836,112.8328755,63.60055731,19.05944731,0.271018351,0.26511813,0.351094374,0.412061147,0.428062718,0.380871945,0.306738871,0.252927904,8.007911459,8.00534388,12.2266714,15.40880349,16.91258405,13.73625793,8.927217117,5.769449558,36.21758801,34.55652887,46.96197173,54.48746659,59.93474111,56.7405086,47.45348801,40.80809881,15255.2872,15203.70597,15198.3796,15130.39383,15045.61687,15081.91686,15001.95407,14720.85393,14460.28795,14601.51253,14730.47579,14726.36284,14711.31199,14646.72635,14400.99517,14195.0097,47998.25585,49931.94802,50241.44117,48800.5394,46144.39843,42968.72864,39830.23371,37302.70532,405.0269701,334.6294249,373.6981764,374.6183603,373.4593555,361.371477,335.08386,290.9653081,29.0810163,30.23256863,31.95540581,32.7218451,32.1644168,30.97992842,27.39057555,21.95300838,15.28019016,19.80886506,21.89136291,22.22871963,21.16772643,19.17494183,13.77198385,7.409403707,9.486161839,13.61237313,17.80002146,19.04818969,18.69870219,18.43107994,14.60882029,11.98972267,156.0101628,651.0282895,117.4302738,231.5427003,57.05169565,54.38057449,951.2272533,895,alabama,houston,2017
